pfam_id,pfam_aka
PF10537,ATP-utilising chromatin assembly and remodelling N-terminal
PF15298,AJAP1/PANP C-terminus
PF02529,Cytochrome B6-F complex subunit 5
PF12609,Wound-induced protein
PF00582,Universal stress protein family
PF00215,Orotidine 5'-phosphate decarboxylase / HUMPS family
PF15519,linker between RRM2 and RRM3 domains in RBM39 protein
PF10302,DSC E3 ubiquitin ligase complex subunit 3, ubiquitin-like domain
PF06732,Pescadillo N-terminus
PF07965,Integrin beta tail domain
PF17092,Penicillin-binding protein OB-like domain
PF01534,Frizzled/Smoothened family membrane region
PF07263,Dentin matrix protein 1 (DMP1)
PF00762,Ferrochelatase
PF00916,Sulfate permease family
PF05965,F/Y rich C-terminus
PF01088,Ubiquitin carboxyl-terminal hydrolase, family 1
PF02159,Oestrogen receptor
PF00246,Zinc carboxypeptidase
PF15997,Domain of unknown function (DUF4772)
PF01352,KRAB box
PF16783,FANCM to MHF binding domain
PF04992,RNA polymerase Rpb1, domain 6
PF05706,Cyclin-dependent kinase inhibitor 3 (CDKN3)
PF04344,Chemotaxis phosphatase, CheZ
PF16423,Transcription factor COE1 helix-loop-helix domain
PF03708,Avian retrovirus envelope protein, gp85
PF03949,Malic enzyme, NAD binding domain
PF18337,RapA N-terminal Tudor like domain
PF07528,DZF N-terminal domain
PF09507,DNA polymerase subunit Cdc27
PF04601,Domain of unknown function (DUF569)
PF18279,Werner helicase-interacting protein 1 ubiquitin-binding domain
PF06333,Mediator complex subunit 13 C-terminal domain
PF03332,Eukaryotic phosphomannomutase
PF12552,Protein of unknown function (DUF3741)
PF10420,Cytokine interleukin-12p40 C-terminus
PF13292,1-deoxy-D-xylulose-5-phosphate synthase
PF00187,Chitin recognition protein
PF00956,Nucleosome assembly protein (NAP)
PF18278,Receptor activator of the NF-KB cysteine-rich repeat domain 2
PF10551,MULE transposase domain
PF06522,NADH-ubiquinone reductase complex 1 MLRQ subunit
PF03561,Allantoicase repeat
PF03299,Transcription factor AP-2
PF09271,LAG1, DNA binding
PF15189,Meiosis-specific coiled-coil domain-containing protein MEIOC
PF01875,Memo-like protein
PF10589,NADH-ubiquinone oxidoreductase-F iron-sulfur binding region
PF16028,Solute carrier family 3 member 2 N-terminus
PF15251,Telomere attrition and p53 response 1 protein-like
PF16191,Ubiquitin-activating enzyme E1 four-helix bundle
PF10147,Growth arrest and DNA-damage-inducible proteins-interacting protein 1
PF17054,Microtubule-Associated protein Jupiter
PF02318,FYVE-type zinc finger
PF14823,Sirohaem biosynthesis protein C-terminal
PF13445,RING-type zinc-finger
PF19280,Ceramide kinase C-terminal domain
PF10174,RIM-binding protein of the cytomatrix active zone
PF08206,Ribonuclease B OB domain
PF00540,gag gene protein p17 (matrix protein)
PF02872,5'-nucleotidase, C-terminal domain
PF14910,S-phase genomic integrity recombination mediator, N-terminal
PF20520,V0 complex accessory subunit Ac45/VOA1 transmembrane domain
PF00338,Ribosomal protein S10p/S20e
PF12706,Beta-lactamase superfamily domain
PF04098,Rad52/22 family double-strand break repair protein
PF03353,Ras-mediated vulval-induction antagonist
PF14694,Lines N-terminus
PF14630,Origin recognition complex (ORC) subunit 5 C-terminus
PF06657,Centrosome microtubule-binding domain of Cep57
PF03120,NAD-dependent DNA ligase OB-fold domain
PF12180,TSG101 and ALIX binding domain of CEP55
PF02208,Sorbin homologous domain
PF02167,Cytochrome C1 family
PF11566,PI31 proteasome regulator N-terminal
PF15316,MyoD family inhibitor
PF15912,Virilizer, N-terminal
PF02403,Seryl-tRNA synthetase N-terminal domain
PF12632,Mysoin-binding motif of peroxisomes
PF06294,CH-like domain in sperm protein
PF04380,Membrane fusogenic activity
PF13805,Eisosome component PIL1
PF04073,Aminoacyl-tRNA editing domain
PF13466,STAS domain
PF06218,Nitrogen permease regulator 2
PF12845,TBD domain
PF07707,BTB And C-terminal Kelch
PF01522,Polysaccharide deacetylase
PF08946,Osmosensory transporter coiled coil
PF07891,Protein of unknown function (DUF1666)
PF02965,Vitamin B12 dependent methionine synthase, activation domain
PF01253,Translation initiation factor SUI1
PF00241,Cofilin/tropomyosin-type actin-binding protein
PF02995,Protein of unknown function (DUF229)
PF16558,Amino-terminal Zinc-binding domain of ubiquitin ligase E3A
PF00140,Sigma-70 factor, region 1.2
PF05153,Myo-inositol oxygenase
PF15336,Autism susceptibility gene 2 protein
PF04088,Peroxin 13, N-terminal region
PF10264,Winged helix Storkhead-box1 domain
PF17672,Fertilisation-influencing membrane protein
PF15741,Ligand-dependent nuclear receptor-interacting factor 1
PF05825,Beta-microseminoprotein (PSP-94)
PF03572,Peptidase family S41
PF00136,DNA polymerase family B
PF00471,Ribosomal protein L33
PF04976,DMSO reductase anchor subunit (DmsC)
PF17757,UvrB interaction domain
PF08609,Nucleotide exchange factor Fes1
PF15324,Hedgehog signalling target
PF00440,Bacterial regulatory proteins, tetR family
PF04862,Protein of unknown function (DUF642)
PF15720,Domain of unknown function (DUF4675)
PF02415,Chlamydia polymorphic membrane protein (Chlamydia_PMP) repeat
PF00792,Phosphoinositide 3-kinase C2
PF01039,Carboxyl transferase domain
PF08354,Fatty acid synthase subunit beta/Fas1-like, helical
PF00332,Glycosyl hydrolases family 17
PF04357,TamB, inner membrane protein subunit of TAM complex
PF12330,Haspin like kinase domain
PF01963,TraB/PrgY/gumN family
PF02813,Retroviral M domain
PF00933,Glycosyl hydrolase family 3 N terminal domain
PF01810,LysE type translocator
PF04824,Conserved region of Rad21 / Rec8 like protein
PF04970,Lecithin retinol acyltransferase
PF10180,WKF domain
PF04942,CC domain
PF01234,NNMT/PNMT/TEMT family
PF04510,Family of unknown function (DUF577)
PF08474,Myelin transcription factor 1
PF16678,HOIP UBA domain pair
PF08285,Dolichol-phosphate mannosyltransferase subunit 3 (DPM3)
PF20517,Transmembrane protein 127
PF16633,Unstructured region on APC between 1st two creatine-rich regions
PF00244,14-3-3 protein
PF01450,Acetohydroxy acid isomeroreductase, catalytic domain
PF06278,Condensin II complex subunit CAP-H2 or CNDH2, N-terminal
PF09049,Stannin transmembrane
PF10531,SLBB domain
PF00282,Pyridoxal-dependent decarboxylase conserved domain
PF09270,Beta-trefoil DNA-binding domain
PF03943,TAP C-terminal domain
PF02118,Srg family chemoreceptor
PF03637,Mob1/phocein family
PF16652,Pleckstrin homology domain
PF09368,Sas10 C-terminal domain
PF12178,Chromosome passenger complex (CPC) protein INCENP N terminal
PF09162,Tap, RNA-binding
PF04382,SAB domain
PF16700,Synphilin-1 alpha-Synuclein-binding domain
PF17946,RecC C-terminal domain
PF11765,Hyphally regulated cell wall protein N-terminal
PF02598,Putative RNA methyltransferase
PF11970,G protein-coupled glucose receptor regulating Gpa2 C-term
PF17919,RNase H-like domain found in reverse transcriptase
PF11865,Domain of unknown function (DUF3385)
PF02599,Global regulator protein family
PF14377,Ubiquitin binding region
PF08372,Plant phosphoribosyltransferase C-terminal
PF18453,Oligomerization domain of C4b-binding protein alpha
PF02179,BAG domain
PF14732,Ubiquitin/SUMO-activating enzyme ubiquitin-like domain
PF05827,V-type proton ATPase subunit S1, luminal domain
PF01087,Galactose-1-phosphate uridyl transferase, N-terminal domain
PF15820,Endothelial cell-specific chemotaxis regulator
PF00717,Peptidase S24-like
PF01933,2-phospho-L-lactate transferase CofD
PF01958,Aspartate dehydrogenase, C-terminal
PF12440,Melanoma associated antigen family N terminal
PF10075,CSN8/PSMD8/EIF3K family
PF00849,RNA pseudouridylate synthase
PF11515,Mouse development and cellular proliferation protein Cullin-7
PF14776,Cation-channel complex subunit UNC-79
PF04163,Tht1-like nuclear fusion protein
PF07859,alpha/beta hydrolase fold
PF07774,ER membrane protein complex subunit 1, C-terminal
PF10197,N-terminal domain of CBF1 interacting co-repressor CIR
PF10384,Centromere protein Scm3
PF14744,WASH complex subunit 7
PF00230,Major intrinsic protein
PF12463,Protein of unknown function (DUF3689)
PF15237,PTRF/SDPR family
PF02535,ZIP Zinc transporter
PF08961,Nuclear receptor-binding factor 2, autophagy regulator
PF11416,Syntaxin-5 N-terminal, Sly1p-binding domain
PF12816,Golgi CORVET complex core vacuolar protein 8
PF01984,Double-stranded DNA-binding domain
PF01997,Translin family
PF15710,Break repair meiotic recombinase recruitment factor 1
PF16122,40S ribosomal protein SA C-terminus
PF00415,Regulator of chromosome condensation (RCC1) repeat
PF10205,Predicted coiled-coil domain-containing protein
PF06404,Phytosulfokine precursor protein (PSK)
PF08628,Sorting nexin C terminal
PF14279,HNH endonuclease
PF16837,Pre-mRNA-splicing factor SF3A3, of SF3a complex, Prp9
PF15902,Sortilin, neurotensin receptor 3,
PF03291,mRNA (guanine-N(7))-methyltransferase domain
PF11221,Subunit 21 of Mediator complex
PF18787,CRM1 / Exportin repeat 3
PF05462,Slime mold cyclic AMP receptor
PF14846,Domain of unknown function (DUF4485)
PF04720,PDDEXK-like family of unknown function
PF16866,PHD-finger
PF14720,NiFe/NiFeSe hydrogenase small subunit C-terminal
PF13207,AAA domain
PF09134,Invasin, domain 3
PF00249,Myb-like DNA-binding domain
PF17763,Glutaminase/Asparaginase C-terminal domain
PF09257,BCMA, TALL-1 binding
PF09803,Pet100
PF01754,A20-like zinc finger
PF16673,TNF receptor-associated factor BIRC3 binding domain
PF04068,Possible Fer4-like domain in RNase L inhibitor, RLI
PF13188,PAS domain
PF04969,CS domain
PF16507,Proteasome-substrate-size regulator, mid region
PF02137,Adenosine-deaminase (editase) domain
PF10637,Oxoglutarate and iron-dependent oxygenase degradation C-term
PF00132,Bacterial transferase hexapeptide (six repeats)
PF01514,Secretory protein of YscJ/FliF family
PF02022,Integrase Zinc binding domain
PF04176,TIP41-like family
PF08445,FR47-like protein
PF15811,Small VCP/p97-interacting protein
PF19718,Ubiquitin carboxyl-terminal hydrolase 47 C-terminal
PF16922,DNA replication complex GINS protein SLD5 C-terminus
PF13407,Periplasmic binding protein domain
PF07803,GSG1-like protein
PF17152,Periplasmic sensor domain
PF00319,SRF-type transcription factor (DNA-binding and dimerisation domain)
PF03834,Binding domain of DNA repair protein Ercc1 (rad10/Swi10)
PF01581,FMRFamide related peptide family
PF00567,Tudor domain
PF18479,PIN like domain
PF06662,D-glucuronyl C5-epimerase C-terminus
PF00004,ATPase family associated with various cellular activities (AAA)
PF11461,Rab interacting lysosomal protein
PF15127,Small membrane A-kinase anchor protein
PF11815,Domain of unknown function (DUF3336)
PF12557,Cob(I)alamin adenosyltransferase N terminal
PF13867,Sin3 binding region of histone deacetylase complex subunit SAP30
PF03952,Enolase, N-terminal domain
PF00526,Dictyostelium (slime mold) repeat
PF00903,Glyoxalase/Bleomycin resistance protein/Dioxygenase superfamily
PF05026,Dcp2, box A domain
PF06798,PrkA serine protein kinase C-terminal domain
PF00828,Ribosomal proteins 50S-L15, 50S-L18e, 60S-L27A
PF03656,Pam16
PF04191,Phospholipid methyltransferase
PF01085,Hedgehog amino-terminal signalling domain
PF10562,Calmodulin-binding domain C0 of NMDA receptor NR1 subunit
PF14309,Domain of unknown function (DUF4378)
PF13565,Homeodomain-like domain
PF02943,Ferredoxin thioredoxin reductase catalytic beta chain
PF01205,Uncharacterized protein family UPF0029
PF01014,Uricase
PF12794,Mechanosensitive ion channel inner membrane domain 1
PF00631,GGL domain
PF08122,NADH-ubiquinone oxidoreductase B12 subunit family
PF09777,Osteopetrosis-associated transmembrane protein 1 precursor
PF14498,Glycosyl hydrolase family 65, N-terminal domain
PF11718,Pre-mRNA 3'-end-processing endonuclease polyadenylation factor C-term
PF10606,Homer-binding domain of metabotropic glutamate receptor
PF01291,LIF / OSM family
PF17921,Integrase zinc binding domain
PF14938,Soluble NSF attachment protein, SNAP
PF18777,Chromosome region maintenance or exportin repeat
PF15303,E3 ubiquitin-protein ligase Arkadia N-terminus
PF06701,Mib_herc2
PF11924,Inverse autotransporter, beta-domain
PF14381,Ethylene-responsive protein kinase Le-CTR1
PF02839,Carbohydrate-binding module family 5/12
PF03647,Transmembrane proteins 14C
PF16415,CCR4-NOT transcription complex subunit 1 CAF1-binding domain
PF04819,Family of unknown function (DUF716)
PF01259,SAICAR synthetase
PF07502,MANEC domain
PF11898,Domain of unknown function (DUF3418)
PF12371,Transmembrane protein 131-like N-terminal
PF20265,ATPase, RavA, LARA domain
PF09088,MIF4G like
PF00467,KOW motif
PF10579,Rapsyn N-terminal myristoylation and linker region
PF00387,Phosphatidylinositol-specific phospholipase C, Y domain
PF15177,Interleukin-28A
PF04908,SH3-binding, glutamic acid-rich protein
PF08695,Cytochrome oxidase complex assembly protein 1
PF16682,CXC domain of E3 ubiquitin-protein ligase MSL2
PF12343,DeaD helicase C-terminal disordered region
PF01226,Formate/nitrite transporter
PF08558,Telomere repeat binding factor (TRF)
PF12436,ICP0-binding domain of Ubiquitin-specific protease 7
PF00250,Forkhead domain
PF01595,Cyclin M transmembrane N-terminal domain
PF00453,Ribosomal protein L20
PF16457,Pleckstrin homology domain
PF10645,Carbohydrate binding
PF08833,Axin beta-catenin binding motif
PF06399,GTP cyclohydrolase I feedback regulatory protein (GFRP)
PF15553,Testis-expressed protein 19
PF01547,Bacterial extracellular solute-binding protein
PF13598,Domain of unknown function (DUF4139)
PF07282,Putative transposase DNA-binding domain
PF17432,Domain of unknown function (DUF3458_C) ARM repeats
PF05183,RNA dependent RNA polymerase
PF11078,Optomotor-blind protein N-terminal region
PF14649,Spatacsin C-terminus
PF00452,Apoptosis regulator proteins, Bcl-2 family
PF19433,Neuron-derived Neurotrophic Factor C-terminal
PF15202,Adipogenin
PF00893,Small Multidrug Resistance protein
PF16035,Chalcone isomerase like
PF13525,Outer membrane lipoprotein
PF12885,Transducer of regulated CREB activity middle domain
PF08333,Protein of unknown function (DUF1725)
PF05964,F/Y-rich N-terminus
PF08711,TFIIS helical bundle-like domain
PF11931,SF3a60/Prp9 C-terminal
PF11801,Tom37 C-terminal domain
PF08426,ICE2
PF13634,Nucleoporin FG repeat region
PF20165,KBTB, W-type LIR motif
PF02541,Ppx/GppA phosphatase family
PF08964,Beta/Gamma crystallin
PF00646,F-box domain
PF02257,RFX DNA-binding domain
PF02775,Thiamine pyrophosphate enzyme, C-terminal TPP binding domain
PF09286,Pro-kumamolisin, activation domain
PF17114,Gef2-related medial cortical node protein Nod1
PF18786,Importin 13 repeat
PF09360,Iron-binding zinc finger CDGSH type
PF08518,Spa2 homology domain (SHD) of GIT
PF12708,Pectate lyase superfamily protein
PF13710,ACT domain
PF02778,tRNA intron endonuclease, N-terminal domain
PF16019,Cysteine/serine-rich nuclear protein N-terminus
PF01931,Protein of unknown function DUF84
PF17956,Nicotinate phosphoribosyltransferase C-terminal domain
PF02834,LigT like Phosphoesterase
PF08917,Transforming growth factor beta receptor 2 ectodomain
PF14641,Helix-turn-helix DNA-binding domain of SPT6
PF04718,Mitochondrial ATP synthase g subunit
PF15509,Domain of unknown function (DUF4650)
PF01813,ATP synthase subunit D
PF01923,Cobalamin adenosyltransferase
PF17659,Family of unknown function (DUF5521)
PF00122,E1-E2 ATPase
PF12793,Sugar transport-related sRNA regulator N-term
PF17657,Bacterial DNA polymerase III alpha subunit finger domain
PF18359,Histone methyltransferase Tudor domain 1
PF08797,HIRAN domain
PF00687,Ribosomal protein L1p/L10e family
PF02146,Sir2 family
PF04794,YdjC-like protein
PF05757,Oxygen evolving enhancer protein 3 (PsbQ)
PF15190,Transmembrane protein 251
PF02827,cAMP-dependent protein kinase inhibitor
PF10780,39S ribosomal protein L53/MRP-L53
PF08343,Ribonucleotide reductase N-terminal
PF14833,NAD-binding of NADP-dependent 3-hydroxyisobutyrate dehydrogenase
PF01843,DIL domain
PF03726,Polyribonucleotide nucleotidyltransferase, RNA binding domain
PF10242,Lipoma HMGIC fusion partner-like protein
PF03912,Psb28 protein
PF07766,LETM1-like, RBD
PF05739,SNARE domain
PF15737,Domain of unknown function (DUF4685)
PF06617,M-phase inducer phosphatase
PF14746,WASH complex subunit 7, C-terminal
PF00585,C-terminal regulatory domain of Threonine dehydratase
PF02696,Protein adenylyltransferase SelO
PF10486,Phosphoinositide 3-kinase gamma adapter protein p101 subunit
PF05478,Prominin
PF13730,Helix-turn-helix domain
PF04879,Molybdopterin oxidoreductase Fe4S4 domain
PF12205,G protein-coupled receptor kinase-interacting protein 1 C term
PF03766,Remorin, N-terminal region
PF09380,FERM C-terminal PH-like domain
PF12129,Homeodomain containing protein PHTF1/2, N-terminal
PF12064,Protein kinase C-binding protein 1
PF05115,Cytochrome B6-F complex subunit VI (PetL)
PF20451,Calmodulin binding protein central domain
PF18459,Proprotein convertase subtilisin-like/kexin type 9 C-terminal domain
PF12145,Eukaryotic Mediator 12 subunit domain
PF15335,Caspase activity and apoptosis inhibitor 1
PF19536,POU domain, class 2, transcription factor 1 C-terminal
PF00982,Glycosyltransferase family 20
PF03590,Aspartate-ammonia ligase
PF08293,Mitochondrial ribosomal subunit S27
PF10317,Serpentine type 7TM GPCR chemoreceptor Srd
PF15268,Dapper
PF05889,O-phosphoseryl-tRNA(Sec) selenium transferase, SepSecS
PF03133,Tubulin-tyrosine ligase family
PF00855,PWWP domain
PF12755,Vacuolar 14 Fab1-binding region
PF03061,Thioesterase superfamily
PF20470,Helix-turn-helix domain
PF02785,Biotin carboxylase C-terminal domain
PF13450,NAD(P)-binding Rossmann-like domain
PF01167,Tub family
PF14826,FACT complex subunit SPT16 N-terminal lobe domain
PF03221,Tc5 transposase DNA-binding domain
PF16959,Renal amino acid transporter
PF15212,Spermatogenesis-associated protein 19, mitochondrial
PF00988,Carbamoyl-phosphate synthase small chain, CPSase domain
PF08344,Transient receptor ion channel II
PF18876,AFF4, C-terminal homology domain
PF07279,Protein of unknown function (DUF1442)
PF06345,DRF Autoregulatory Domain
PF03169,OPT oligopeptide transporter protein
PF02470,MlaD protein
PF02185,Hr1 repeat
PF04266,ASCH domain
PF05050,Methyltransferase FkbM domain
PF03521,Kv2 voltage-gated K+ channel
PF00995,Sec1 family
PF07412,Geminin
PF03104,DNA polymerase family B, exonuclease domain
PF15412,Binding domain of Nse4/EID3 to Nse3-MAGE
PF12326,N-glycosylation protein
PF11971,CAMSAP CH domain
PF00203,Ribosomal protein S19
PF15492,Neuroblastoma-amplified sequence, N terminal
PF15152,Kisspeptin
PF15150,Phorbol-12-myristate-13-acetate-induced
PF00061,Lipocalin / cytosolic fatty-acid binding protein family
PF14727,PTHB1 N-terminus
PF00347,Ribosomal protein L6
PF00202,Aminotransferase class-III
PF11179,Protein of unknown function (DUF2967)
PF03611,PTS system sugar-specific permease component
PF03033,Glycosyltransferase family 28 N-terminal domain
PF10018,Vitamin-D-receptor interacting Mediator subunit 4
PF10507,Transmembrane protein 65
PF03517,Regulator of volume decrease after cellular swelling
PF19334,Domain of unknown function (DUF5920)
PF13507,CobB/CobQ-like glutamine amidotransferase domain
PF02285,Cytochrome oxidase c subunit VIII
PF10419,TFIIIC subunit triple barrel domain
PF07821,Alpha-amylase C-terminal beta-sheet domain
PF15350,Ewing's tumour-associated antigen 1 homologue
PF13416,Bacterial extracellular solute-binding protein
PF08650,DASH complex subunit Dad4
PF13192,Thioredoxin domain
PF00656,Caspase domain
PF15704,Mitochondrial ATP synthase subunit
PF00612,IQ calmodulin-binding motif
PF07503,HypF finger
PF06119,Nidogen-like
PF00159,Pancreatic hormone peptide
PF19046,GM130 C-terminal binding motif
PF00573,Ribosomal protein L4/L1 family
PF09163,Formate dehydrogenase N, transmembrane
PF13868,Trichohyalin-plectin-homology domain
PF19434,Dynamin-like GTPase OPA1 C-terminal
PF04628,Sedlin, N-terminal conserved region
PF06738,Putative threonine/serine exporter
PF01558,Pyruvate ferredoxin/flavodoxin oxidoreductase
PF01326,Pyruvate phosphate dikinase, AMP/ATP-binding domain
PF14513,Diacylglycerol kinase N-terminus
PF10199,Alpha and gamma adaptin binding protein p34
PF01400,Astacin (Peptidase family M12A)
PF17217,UPA domain
PF07484,Phage Tail Collar Domain
PF14290,Succinate dehydrogenase subunit 5, mitochondrial
PF02862,DDHD domain
PF06818,Fez1
PF09302,XLF-Cernunnos, XRcc4-like factor, NHEJ component
PF17880,Yos9 dimerzation domain
PF13088,BNR repeat-like domain
PF05127,Helicase
PF02533,Photosystem II 4 kDa reaction centre component
PF10267,Predicted transmembrane and coiled-coil 2 protein
PF01991,ATP synthase (E/31 kDa) subunit
PF16869,Condensin II complex subunit CAP-H2 or CNDH2, mid domain
PF07529,HSA domain
PF18129,Xrn1 SH3-like domain
PF01183,Glycosyl hydrolases family 25
PF13671,AAA domain
PF05355,Apolipoprotein C-II
PF04055,Radical SAM superfamily
PF14984,CD24 protein
PF01594,AI-2E family transporter
PF16611,Unstructured region between RBD and GoLoco
PF00722,Glycosyl hydrolases family 16
PF01423,LSM domain
PF14631,Fanconi anaemia protein FancD2 nuclease
PF05822,Pyrimidine 5'-nucleotidase (UMPH-1)
PF03063,Prismane/CO dehydrogenase family
PF15340,Cooperator of PRMT5 family
PF01195,Peptidyl-tRNA hydrolase
PF09363,XFP C-terminal domain
PF15280,Protein aurora borealis N-terminus
PF11892,Pyrimidine/purine nucleotide monophosphate nucleosidase, C-terminal
PF02668,Taurine catabolism dioxygenase TauD, TfdA family
PF18911,PKD domain
PF20582,UPF0758 N-terminal
PF19311,KELAA motif
PF02068,Plant PEC family metallothionein
PF10511,Trappin protein transglutaminase binding domain
PF18264,CXC domain
PF17292,POB3-like N-terminal PH domain
PF12704,MacB-like periplasmic core domain
PF12560,RAG1 importin binding
PF08622,Svf1-like N-terminal lipocalin domain
PF20511,Phosphomannose isomerase type I, catalytic domain
PF07539,U3 small nucleolar RNA-associated protein 20, N-terminal
PF01191,RNA polymerase Rpb5, C-terminal domain
PF04310,MukB N-terminal
PF02947,flt3 ligand
PF13531,Bacterial extracellular solute-binding protein
PF06677,Sjogren's syndrome/scleroderma autoantigen 1 (Autoantigen p27)
PF09070,PFU (PLAA family ubiquitin binding)
PF11531,Coactivator-associated arginine methyltransferase 1 N terminal
PF05876,Phage terminase large subunit gpA, ATPase domain
PF04552,Sigma-54, DNA binding domain
PF03528,Rabaptin
PF02408,CUB-like domain
PF02750,Synapsin, ATP binding domain
PF04321,RmlD substrate binding domain
PF04621,PEA3 subfamily ETS-domain transcription factor N terminal domain
PF10033,Autophagy-related protein 13
PF02769,AIR synthase related protein, C-terminal domain
PF02891,MIZ/SP-RING zinc finger
PF16353,Beta-galactosidase, domain 4
PF15926,E3 ubiquitin-protein ligase RNF220
PF02355,Protein export membrane protein
PF17207,MCM OB domain
PF03573,outer membrane porin, OprD family
PF16187,Middle or third domain of peptidase_M16
PF03632,Glycosyl hydrolase family 65 central catalytic domain
PF01238,Phosphomannose isomerase type I C-terminal
PF00593,TonB dependent receptor
PF20512,Phosphomannose isomerase type I, helical insertion domain
PF08045,Cell division control protein 14, SIN component
PF04012,PspA/IM30 family
PF02630,SCO1/SenC
PF13371,Tetratricopeptide repeat
PF03060,Nitronate monooxygenase
PF13890,Rab3 GTPase-activating protein catalytic subunit
PF16630,Unstructured region on APC between 1st and 2nd catenin-bdg motifs
PF07711,Rab geranylgeranyl transferase alpha-subunit, insert domain
PF01094,Receptor family ligand binding region
PF09112,Peptide-N-glycosidase F, N terminal
PF16180,RelB leucine zipper
PF03357,Snf7
PF01420,Type I restriction modification DNA specificity domain
PF05470,Eukaryotic translation initiation factor 3 subunit 8 N-terminus
PF00877,NlpC/P60 family
PF04084,Origin recognition complex subunit 2
PF15341,Ribosome biogenesis protein SLX9
PF01412,Putative GTPase activating protein for Arf
PF06098,Radial spoke protein 3
PF05617,Prolamin-like
PF10615,Domain of unknown function (DUF2470)
PF09758,Uncharacterised conserved protein
PF09307,CLIP, MHC2 interacting
PF18861,TM proximal of protein tyrosine phosphatase, receptor type J
PF01058,NADH ubiquinone oxidoreductase, 20 Kd subunit
PF18572,Trehalose-6-phosphate phosphatase N-terminal helical bundle domain
PF00362,Integrin beta chain VWA domain
PF02811,PHP domain
PF00908,dTDP-4-dehydrorhamnose 3,5-epimerase
PF06482,Collagenase NC10 and Endostatin
PF13902,R3H-associated N-terminal domain
PF14793,Pyrimidine/purine nucleotide 5'-monophosphate nucleosidases
PF06875,Plethodontid receptivity factor PRF
PF18437,Nup54 C-terminal interacting domain
PF13959,Domain of unknown function (DUF4217)
PF09180,Prolyl-tRNA synthetase, C-terminal
PF03797,Autotransporter beta-domain
PF12852,Cupin
PF14818,Domain of unknown function (DUF4482)
PF06093,Spt4/RpoE2 zinc finger
PF04691,Apolipoprotein C-I (ApoC-1)
PF12416,Cep120 protein
PF01101,HMG14 and HMG17
PF18392,COP9 signalosome complex subunit 7a helix I domain
PF06469,Neurobeachin-like, DUF1088
PF12170,DNA polymerase III tau subunit V interacting with alpha
PF03478,Domain of unknown function (DUF295)
PF02133,Permease for cytosine/purines, uracil, thiamine, allantoin
PF11819,Cytohesin Ubiquitin Protein Inducing Domain
PF11791,Aconitate B N-terminal domain
PF06026,Ribose 5-phosphate isomerase A (phosphoriboisomerase A)
PF01678,Diaminopimelate epimerase
PF04348,LppC putative lipoprotein
PF12940,Recombination-activation protein 1 (RAG1), recombinase
PF13491,4TM region of DNA translocase FtsK/SpoIIIE
PF02786,Carbamoyl-phosphate synthase L chain, ATP binding domain
PF00886,Ribosomal protein S16
PF14646,MYCBP-associated protein family
PF01739,CheR methyltransferase, SAM binding domain
PF10193,Telomere length regulation protein
PF12515,Ca2+-ATPase N terminal autoinhibitory domain
PF08776,VASP tetramerisation domain
PF02903,Alpha amylase, N-terminal ig-like domain
PF04362,Bacterial Fe(2+) trafficking
PF16791,Connexin 40 C-terminal domain
PF10271,Putative transmembrane protein
PF15351,Junctional protein associated with coronary artery disease
PF04185,Phosphoesterase family
PF02576,RimP N-terminal domain
PF05974,Domain of unknown function (DUF892)
PF06159,Protein of unknown function (DUF974)
PF00226,DnaJ domain
PF02016,LD-carboxypeptidase N-terminal domain
PF13638,PIN domain
PF00482,Type II secretion system (T2SS), protein F
PF16994,Glycosyl-transferase family 4
PF02970,Tubulin binding cofactor A
PF02582,RMND1/Sif2-Sif3/Mrx10, DUF155
PF04387,Protein tyrosine phosphatase-like protein, PTPLA
PF11715,Nucleoporin Nup120/160
PF13602,Zinc-binding dehydrogenase
PF12437,Glutamine synthetase type III N terminal
PF04326,Schlafen, AlbA_2
PF14700,DNA-directed RNA polymerase N-terminal
PF07123,Photosystem II reaction centre W protein (PsbW)
PF09190,DALR domain
PF14750,Integrator complex subunit 2
PF16987,KIX domain
PF07354,Zona-pellucida-binding protein (Sp38) N-terminal Ig domain
PF01075,Glycosyltransferase family 9 (heptosyltransferase)
PF08954,Trimerisation motif
PF14668,Rapamycin-insensitive companion of mTOR, domain 5
PF02391,MoaE protein
PF00808,Histone-like transcription factor (CBF/NF-Y) and archaeal histone
PF00837,Iodothyronine deiodinase
PF11978,Shoulder domain
PF04130,Gamma tubulin complex component C-terminal
PF18011,C-terminal domain found in long catalases
PF00323,Mammalian defensin
PF04300,F-box associated region
PF09160,FimH, mannose binding
PF15319,RAD9, RAD1, HUS1-interacting nuclear orphan protein
PF04516,CP2 transcription factor
PF13704,Glycosyl transferase family 2
PF01657,Salt stress response/antifungal
PF08235,LNS2 (Lipin/Ned1/Smp2)
PF05524,PEP-utilising enzyme, N-terminal
PF00036,EF hand
PF08075,NOPS (NUC059) domain
PF04379,ApaG domain
PF09197,Rap1, DNA-binding
PF04699,ARP2/3 complex 16 kDa subunit (p16-Arc)
PF15113,TMEM117 protein family
PF00992,Troponin
PF15101,Telomere-associated protein TERB2
PF02666,Phosphatidylserine decarboxylase
PF00027,Cyclic nucleotide-binding domain
PF00217,ATP:guanido phosphotransferase, C-terminal catalytic domain
PF19430,TBC1 domain family member 23 C-terminal
PF14473,RD3 protein
PF00996,GDP dissociation inhibitor
PF07289,Bardet-Biedl syndrome 5 protein
